AFA_Ozone_1 HOUR_Arithmetic Mean,AFA_Ozone_8-HR RUN AVG BEGIN HOUR_Arithmetic Mean,HW24_Wind Speed - Scalar_1 HOUR_Arithmetic Mean,HW24_Wind Direction - Scalar_1 HOUR_Arithmetic Mean,HW24_Carbon monoxide_8-HR RUN AVG END HOUR_Arithmetic Mean,HW24_Carbon monoxide_1 HOUR_Arithmetic Mean,HW24_Wind Direction - Resultant_1 HOUR_Arithmetic Mean,HW24_Wind Speed - Resultant_1 HOUR_Arithmetic Mean,HW24_Sulfur dioxide_1 HOUR_Arithmetic Mean,HW24_Sulfur dioxide_3-HR BLK AVG_Arithmetic Mean,HW24_SO2 max 5-min avg_1 HOUR_Arithmetic Mean,HW24_Relative Humidity_1 HOUR_Arithmetic Mean,HW24_Outdoor Temperature_1 HOUR_Arithmetic Mean,HW24_Std Dev Hz Wind Direction_1 HOUR_Arithmetic Mean,MAN_Ozone_1 HOUR_Arithmetic Mean,MAN_Ozone_8-HR RUN AVG BEGIN HOUR_Arithmetic Mean,Average Mixing Height,Met_Lat,Met_long,Met_elevation,Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed,Date
0.024,0.030588,2.020833,242.75,0.542105,0.587917,245.0,1.641667,2.221739,2.385714,5.656522,50.416667,21.125,37.6875,0.037333,0.041471,179.0,38.80949,-104.68873,1884.2,5.14,0.0,0.0,0.0,19.0,20.0,20.0,10.1,12.1,2016-01-01
0.030417,0.027059,1.745833,222.916667,0.720833,0.79,225.375,1.379167,1.756522,1.771429,2.495652,35.458333,27.416667,40.370833,0.043667,0.040529,518.0,38.80949,-104.68873,1884.2,5.14,0.0,0.0,0.0,27.0,110.0,110.0,13.0,14.1,2016-01-02
0.022792,0.019588,2.041667,258.833333,0.795833,0.742917,258.708333,1.866667,4.66087,4.9,8.278261,41.833333,29.041667,25.5125,0.035417,0.033059,,38.80949,-104.68873,1884.2,4.7,0.0,0.0,0.0,29.0,20.0,10.0,10.1,12.1,2016-01-03
0.012609,0.013824,2.45,257.791667,0.825,0.805217,257.5,2.25,5.645455,6.45,10.059091,50.333333,29.25,23.033333,0.027783,0.025706,,38.80949,-104.68873,1884.2,6.26,0.0,0.0,0.0,29.0,170.0,190.0,10.1,14.1,2016-01-04
0.03,0.033294,2.716667,239.583333,0.733333,0.732083,226.541667,2.2375,3.33913,3.357143,5.66087,43.833333,35.791667,37.7375,0.035417,0.036588,,38.80949,-104.68873,1884.2,8.05,0.0,0.0,0.0,35.0,20.0,340.0,19.9,23.9,2016-01-05
0.022833,0.018118,2.666667,237.791667,0.8375,0.829583,252.75,2.191667,5.86087,6.3,11.156522,53.875,34.041667,37.7625,0.033792,0.030235,,38.80949,-104.68873,1884.2,6.49,0.0,0.0,0.0,36.0,150.0,150.0,18.1,21.0,2016-01-06
0.017083,0.017294,1.354167,223.75,0.6625,0.642917,234.708333,1.1625,1.473913,1.385714,2.195652,86.875,32.041667,32.525,0.026458,0.021588,102.0,38.80949,-104.68873,1884.2,3.58,0.14,1.1,0.0,33.0,190.0,120.0,8.1,10.1,2016-01-07
0.027708,0.035235,3.6375,226.458333,0.358333,0.289167,211.333333,3.358333,0.33913,0.271429,0.543478,84.333333,26.416667,24.95,0.027,0.029471,177.0,38.80949,-104.68873,1884.2,8.95,0.04,1.5,1.2,29.0,330.0,350.0,21.9,29.1,2016-01-08
0.030417,0.026647,3.070833,229.375,0.370833,0.382917,228.75,2.779167,1.886957,2.014286,3.66087,80.083333,22.125,20.891667,0.026583,0.028765,242.0,38.80949,-104.68873,1884.2,2.91,0.0,0.1,2.0,21.0,190.0,190.0,8.9,10.1,2016-01-09
0.026958,0.027471,2.320833,262.5,0.4875,0.543333,264.0,1.966667,1.547826,1.628571,3.16087,64.625,20.541667,31.270833,0.03875,0.040176,147.0,38.80949,-104.68873,1884.2,4.03,0.0,0.0,1.2,21.0,200.0,210.0,12.1,13.0,2016-01-10
0.024667,0.027294,1.934783,262.652174,0.916667,0.987917,260.304348,1.552174,4.06,4.35,6.2,58.695652,23.173913,41.873913,0.038667,0.038941,26.0,38.80949,-104.68873,1884.2,5.82,0.0,0.0,1.2,23.0,160.0,170.0,12.1,15.0,2016-01-11
0.029792,0.024941,3.041667,256.25,0.9125,0.83625,254.541667,2.5,4.695652,4.857143,8.234783,39.791667,31.25,39.720833,0.03825,0.033824,,38.80949,-104.68873,1884.2,7.61,0.0,0.0,1.2,32.0,340.0,340.0,17.0,19.9,2016-01-12
0.020652,0.023588,2.591667,262.125,0.8875,0.883478,258.583333,1.875,5.818182,6.316667,8.831818,46.958333,34.166667,45.0375,0.026652,0.026647,,38.80949,-104.68873,1884.2,3.36,0.0,0.0,0.0,35.0,300.0,310.0,13.0,15.0,2016-01-13
0.046292,0.045176,6.6625,254.708333,0.533333,0.422917,253.125,5.908333,1.726087,1.671429,2.3,32.583333,35.916667,35.533333,0.043875,0.044176,,38.80949,-104.68873,1884.2,13.2,0.0,0.0,0.0,38.0,290.0,290.0,33.1,40.9,2016-01-14
0.0285,0.023412,3.370833,212.708333,0.55,0.610833,225.583333,2.941667,2.613043,2.714286,5.778261,51.625,27.583333,28.9625,0.034292,0.030588,,38.80949,-104.68873,1884.2,6.49,0.0,0.0,0.0,31.0,300.0,310.0,21.0,29.1,2016-01-15
0.025625,0.027882,4.1125,237.541667,0.495833,0.499583,237.5,3.791667,2.713043,2.871429,5.543478,64.375,23.75,23.916667,0.032625,0.032353,201.0,38.80949,-104.68873,1884.2,5.37,0.02,0.3,0.0,24.0,160.0,170.0,15.0,19.9,2016-01-16
0.030958,0.035235,2.829167,218.958333,0.475,0.477083,219.0,1.983333,3.5,3.685714,7.256522,58.75,26.791667,47.5625,0.0305,0.029941,,38.80949,-104.68873,1884.2,4.92,0.0,0.0,0.0,26.0,30.0,30.0,14.1,14.1,2016-01-17
0.032458,0.040647,3.133333,272.25,0.741667,0.707083,273.041667,2.4,4.765217,5.085714,7.517391,45.208333,36.75,40.675,0.035833,0.036882,,38.80949,-104.68873,1884.2,6.93,0.0,0.0,0.0,32.0,200.0,320.0,18.1,21.9,2016-01-18
0.034375,0.028,5.041667,181.375,0.358333,0.407917,194.75,4.520833,4.604348,4.9,9.782609,57.166667,36.791667,26.358333,0.034625,0.029588,101.0,38.80949,-104.68873,1884.2,11.41,0.0,0.0,0.0,40.0,360.0,350.0,29.1,34.0,2016-01-19
0.039375,0.039765,5.979167,281.0,0.433333,0.350833,267.458333,5.3125,1.465217,1.457143,2.06087,44.0,38.0,29.870833,0.039542,0.042941,396.0,38.80949,-104.68873,1884.2,12.3,0.0,0.0,0.0,36.0,350.0,20.0,30.0,38.0,2016-01-20
0.032208,0.025235,5.670833,235.041667,0.279167,0.382917,234.791667,5.316667,0.783333,0.8,1.338889,37.125,33.75,24.083333,0.039167,0.035647,810.0,38.80949,-104.68873,1884.2,11.41,0.0,0.0,0.0,34.0,360.0,10.0,31.1,36.0,2016-01-21
0.016833,0.021588,3.270833,257.833333,0.711765,0.724,242.583333,3.0125,3.93913,4.228571,10.704348,52.75,35.208333,23.891667,0.030417,0.029353,873.0,38.80949,-104.68873,1884.2,6.71,0.0,0.0,0.0,33.0,160.0,150.0,14.1,17.0,2016-01-22
0.029333,0.022353,2.804167,242.0,0.6875,0.700833,239.333333,2.3375,2.991304,3.171429,5.204348,37.875,43.458333,33.741667,0.03675,0.035118,144.0,38.80949,-104.68873,1884.2,6.49,0.0,0.0,0.0,43.0,120.0,120.0,14.1,16.1,2016-01-23
0.0355,0.038294,4.658333,261.25,0.475,0.375,259.583333,4.0,1.047826,0.957143,1.713043,48.375,38.208333,39.258333,0.041375,0.041647,,38.80949,-104.68873,1884.2,12.53,0.0,0.0,0.0,41.0,350.0,340.0,30.0,36.0,2016-01-24
0.033375,0.031,2.816667,249.458333,0.333333,0.365,248.75,2.2625,0.521739,0.5,1.121739,73.916667,30.041667,33.991667,0.034958,0.032353,546.0,38.80949,-104.68873,1884.2,9.62,0.05,0.6,0.0,32.0,10.0,20.0,23.0,25.9,2016-01-25
0.019833,0.020353,2.6625,225.0,0.5125,0.56625,224.083333,2.391667,2.491304,2.685714,5.456522,67.5,27.166667,23.079167,0.032625,0.034176,,38.80949,-104.68873,1884.2,4.03,0.0,0.1,1.2,27.0,360.0,200.0,8.9,15.0,2016-01-26
0.021792,0.022353,2.275,239.958333,0.791667,0.887917,252.291667,1.9375,3.652174,3.942857,11.043478,55.291667,34.833333,36.166667,0.035333,0.034176,,38.80949,-104.68873,1884.2,7.16,0.0,0.0,0.0,34.0,20.0,20.0,17.0,19.9,2016-01-27
0.025348,0.033235,2.8875,240.791667,1.016667,0.91625,239.5,2.475,3.540909,3.716667,8.472727,53.583333,37.833333,31.979167,0.036458,0.034882,,38.80949,-104.68873,1884.2,6.26,0.0,0.0,0.0,38.0,120.0,120.0,13.0,17.0,2016-01-28
0.043792,0.039588,6.025,265.083333,0.475,0.444583,266.416667,5.1375,1.378261,1.385714,2.613043,33.541667,45.75,39.0125,0.040125,0.038471,452.0,38.80949,-104.68873,1884.2,12.75,0.0,0.0,0.0,45.0,330.0,330.0,32.0,40.0,2016-01-29
0.035917,0.037706,6.741667,245.416667,0.408333,0.349583,244.041667,4.904167,2.686957,2.742857,7.834783,43.541667,45.458333,50.879167,0.034542,0.035941,,38.80949,-104.68873,1884.2,10.74,0.0,0.0,0.0,45.0,30.0,60.0,32.0,38.9,2016-01-30
0.038292,0.039294,7.15,167.25,0.216667,0.215833,168.416667,6.816667,11.734783,12.8,24.173913,95.916667,27.875,17.479167,0.037458,0.037235,231.0,38.80949,-104.68873,1884.2,9.62,0.29,3.2,2.0,31.0,160.0,170.0,18.1,21.0,2016-01-31
0.033375,0.032176,4.133333,258.458333,0.266667,0.275,257.958333,3.904167,1.678261,1.114286,3.086957,95.625,24.833333,21.929167,0.030042,0.028824,,38.80949,-104.68873,1884.2,10.51,0.87,7.4,2.0,25.0,20.0,20.0,25.9,32.0,2016-02-01
0.034208,0.027412,6.8125,315.208333,0.2375,0.27,286.208333,6.358333,0.230435,0.228571,0.478261,68.416667,20.125,24.2625,0.037875,0.037353,201.0,38.80949,-104.68873,1884.2,16.11,0.0,0.4,9.8,21.0,360.0,360.0,31.1,38.9,2016-02-02
0.027167,0.034471,3.116667,244.208333,0.55,0.615417,241.041667,2.5,1.304348,1.342857,2.047826,61.166667,14.166667,42.208333,0.038,0.039353,251.0,38.80949,-104.68873,1884.2,7.38,0.0,0.0,9.8,13.0,330.0,350.0,17.0,21.0,2016-02-03
0.036667,0.032059,2.820833,220.5,0.666667,0.571667,219.25,2.183333,,,,51.25,21.75,36.154167,0.036958,0.033118,,38.80949,-104.68873,1884.2,6.26,0.1,1.9,9.1,15.0,350.0,340.0,14.1,14.1,2016-02-04
0.028083,0.028412,3.7,220.5,0.45,0.521667,219.875,3.316667,1.504348,1.528571,3.347826,59.125,26.375,26.575,0.038542,0.039412,,38.80949,-104.68873,1884.2,7.61,0.03,0.4,9.1,25.0,10.0,360.0,21.9,25.9,2016-02-05
