STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT18,WT19,WT22
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-01,5.82,1749,,0.00,0.0,2.0,,18,-8,30,,12.1,,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-02,6.26,7,1748,0.00,0.0,2.0,,43,-2,350,230,23.0,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-03,6.49,1507,1357,0.00,0.0,0.0,,39,12,60,70,23.9,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-04,5.59,1950,1944,0.00,0.0,0.0,,42,6,310,310,17.0,23.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-05,5.82,2203,,0.00,0.0,0.0,,47,19,70,,13.0,,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-06,6.71,2022,1403,0.00,0.0,0.0,,54,17,30,140,14.1,15.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-07,7.16,1303,1020,0.00,0.0,0.0,,47,23,190,150,15.0,17.9,1,,,,,,,,,,,1,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-08,5.37,1425,1424,0.00,0.0,0.0,,57,20,150,150,16.1,17.9,1,,,,,,,,,,,1,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-09,8.50,2150,1801,0.09,1.3,0.0,,35,12,40,230,19.9,34.9,1,,,,,,,1,,,,1,,,,1,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-10,8.05,629,713,0.00,0.0,1.0,,14,-4,330,340,21.9,25.9,1,,,,,,,1,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-11,4.25,812,811,0.00,0.0,1.0,,21,-5,340,340,12.1,14.1,1,,,,,,,,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-12,2.24,43,43,0.00,0.1,1.0,,26,4,140,140,17.9,17.9,1,,,,,,,1,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-13,5.14,2359,326,0.00,0.0,1.0,,48,23,30,30,10.1,13.0,,,,,,,,1,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-14,7.61,713,712,0.00,0.0,0.0,,49,26,340,350,21.9,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-15,5.37,2243,2242,0.00,0.0,0.0,,49,25,40,50,12.1,13.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-16,5.37,2317,1117,0.00,0.0,0.0,,42,23,50,140,14.1,16.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-17,15.21,1409,1422,0.00,0.0,0.0,,57,36,320,330,31.1,40.0,,,,,,,,,,,,,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-18,6.04,939,938,0.00,0.0,0.0,,51,23,320,320,19.9,25.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-19,12.30,1552,1718,0.00,0.0,0.0,,42,19,360,340,36.9,46.1,,,,,,,,1,,,,,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-20,8.05,1238,1206,0.00,0.0,0.0,,39,10,170,190,21.9,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-21,13.20,1307,1222,0.00,0.0,0.0,,46,24,360,360,28.0,38.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-22,16.78,719,719,0.00,0.0,0.0,,51,21,290,260,44.1,55.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-23,6.49,108,107,0.00,0.0,0.0,,41,17,350,340,21.0,29.1,,,,,,,,,,,,,,,,,,
