Met_station,Met_station_name,Met_Lat,Met_long,Met_elevation,Date (Local),Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Maximum temperature,Minimum temperature,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-01,5.82,0.0,0.0,2.0,,18,-8,30,,12.1,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-02,6.26,0.0,0.0,2.0,,43,-2,350,230.0,23.0,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-03,6.49,0.0,0.0,0.0,,39,12,60,70.0,23.9,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-04,5.59,0.0,0.0,0.0,,42,6,310,310.0,17.0,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-05,5.82,0.0,0.0,0.0,,47,19,70,,13.0,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-06,6.71,0.0,0.0,0.0,,54,17,30,140.0,14.1,15.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-07,7.16,0.0,0.0,0.0,,47,23,190,150.0,15.0,17.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-08,5.37,0.0,0.0,0.0,,57,20,150,150.0,16.1,17.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-09,8.5,0.09,1.3,0.0,,35,12,40,230.0,19.9,34.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-10,8.05,0.0,0.0,1.0,,14,-4,330,340.0,21.9,25.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-11,4.25,0.0,0.0,1.0,,21,-5,340,340.0,12.1,14.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-12,2.24,0.0,0.1,1.0,,26,4,140,140.0,17.9,17.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-13,5.14,0.0,0.0,1.0,,48,23,30,30.0,10.1,13.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-14,7.61,0.0,0.0,0.0,,49,26,340,350.0,21.9,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-15,5.37,0.0,0.0,0.0,,49,25,40,50.0,12.1,13.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-16,5.37,0.0,0.0,0.0,,42,23,50,140.0,14.1,16.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-17,15.21,0.0,0.0,0.0,,57,36,320,330.0,31.1,40.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-18,6.04,0.0,0.0,0.0,,51,23,320,320.0,19.9,25.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-19,12.3,0.0,0.0,0.0,,42,19,360,340.0,36.9,46.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-20,8.05,0.0,0.0,0.0,,39,10,170,190.0,21.9,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-21,13.2,0.0,0.0,0.0,,46,24,360,360.0,28.0,38.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-22,16.78,0.0,0.0,0.0,,51,21,290,260.0,44.1,55.9
